continent,country,city,name,latitude,longitude,website,extra
AF,South Africa,Durbanville,Bloemendal Wine Estate,-33.84027,18.60107,https://bloemendalestate.co.za/,2;9;1;67;4;0;5;42
AF,South Africa,Durbanville,Groot Phesantekraal Wines & Restaurant,-33.7966,18.67078,http://www.grootphesantekraal.co.za/,
AF,South Africa,Durbanville,Canto Boutique Wines,-33.8058,18.62419,http://cantowines.co.za/,
AF,South Africa,Durbanville,D'Aria Winery,-33.84113,18.61088,http://www.dariawinery.co.za/,
AF,South Africa,Durbanville,Hillcrest Estate,-33.82701,18.59051,http://www.hillcrestfarm.co.za/,
AF,South Africa,Durbanville,Maastricht Wines,-33.83943,18.59047,http://www.maastricht.co.za/,
AF,South Africa,Durbanville,Loch Lynne farm,-33.77875,18.64098,http://www.lochlynne.co.za/,
AF,South Africa,Durbanville,Altydgedacht,-33.84743,18.62464,,
AF,South Africa,Durbanville,Arno Smith Wine,-33.82721,18.59017,http://arnosmithwine.co.za/,
AF,South Africa,Durbanville,Hooggelegen Offices,-33.81845,18.61519,http://www.signalgun.com/,
AF,South Africa,Durbanville,Russo Wines,-33.80952,18.62482,http://www.russowines.co.za/,
AF,South Africa,Elgin,Almenkerk Wine Estate,-34.21341,19.03245,http://www.almenkerk.co.za/,
AF,South Africa,Elgin,Elgin Vintners Wines & 4-Star Country Guest House,-34.18648,19.0227,http://elginvintners.co.za/,
AF,South Africa,Elgin,Oneiric Wines,-34.24208,19.05138,http://www.oneiric.co.za/,
AF,South Africa,Elgin,Charles Fox Cap Classique Wine Estate,-34.23757,19.07831,http://www.charlesfox.co.za/,
AF,South Africa,Elgin,Oak Valley Estate,-34.15504,19.04622,https://oakvalley.co.za/?utm_source=GMB&utm_medium=google,3;6;2;149;1;706;21;0;26;135;11;5;13
AF,South Africa,Elgin,Paul Clüver Family Wines,-34.16903,19.08504,http://www.cluver.com/,
AF,South Africa,Elgin,Highlands Road Estate,-34.23465,19.07012,http://www.highlandsroadestate.co.za/,
AF,South Africa,Elgin,Iona Wines,-34.27871,19.08269,https://www.iona.co.za/,
AF,South Africa,Elgin,Shannon Vineyards & Wines,-34.18362,18.9854,https://shannonwines.com/,
AF,South Africa,Elgin,Radford Dale,-34.20226,19.00501,http://www.radforddale.com/,
AF,South Africa,Elgin,HANNAY WINES,-34.18279,19.03788,http://hannay.co.za/,
AF,South Africa,Elgin,South Hill Vineyards,-34.23485,19.10917,https://southhill.co.za/,16;3;2;4;0;5
AF,South Africa,Elgin,Lothian Vineyards,-34.19157,18.98059,http://www.lothianvineyards.com/,
AF,South Africa,Elgin,Spioenkop Wines,-34.24033,19.05609,http://www.spioenkopwines.co.za/,
AF,South Africa,Elgin,De Rust Estate - Grabouw,-34.16854,19.08566,,
AF,South Africa,Elgin,Richard Kershaw Wines,-34.15086,19.02679,https://kershawwines.com/,3;7;4;0;5
AF,South Africa,Elim,Strandveld Vineyards,-34.66258,19.78943,http://www.strandveld.co.za/,
AF,South Africa,Elim,Zoetendal Vineyards & River Estate,-34.60042,19.79098,https://www.zoetendal.co.za/,6;2;9;1;14;21;28;5
AF,South Africa,Elim,Black OysterCatcher Wines,-34.63247,19.82736,https://blackoystercatcher.co.za/,2;378;1;21;5
AF,South Africa,Elim,Black Oystercatcher Wines,-34.63254,19.8271,https://blackoystercatcher.co.za/,2;378;1;21;5
AF,South Africa,Franschhoek,Paserene Wine Farm & Wine Tasting in Franschhoek,-33.87898,19.05895,https://paserene.com/,
AF,South Africa,Franschhoek,Haute Cabrière - the home of Pierre Jourdan,-33.91421,19.13565,https://www.cabriere.co.za/,
AF,South Africa,Franschhoek,Rickety Bridge Estate,-33.8985,19.09085,http://www.ricketybridge.com/,
AF,South Africa,Franschhoek,Leopard’s Leap Restaurant & Wine Farm,-33.88585,19.08021,https://leopardsleap.co.za/,3;6;2;149;183;7;9;1;14;67;269;21;0;28;10;5
AF,South Africa,Franschhoek,La Bri Wine Estate,-33.92034,19.12058,http://www.labri.co.za/,
AF,South Africa,Franschhoek,Grande Provence Wine Estate - The Winery,-33.89806,19.10266,http://www.grandeprovence.co.za/,
AF,South Africa,Franschhoek,Eikehof Wines,-33.88097,19.06433,http://www.eikehof.com/,
AF,South Africa,Franschhoek,GlenWood Vineyards,-33.9133,19.08711,http://www.glenwoodvineyards.co.za/,
AF,South Africa,Franschhoek,Stony Brook Vineyards,-33.93982,19.12239,http://www.stonybrook.co.za/,
AF,South Africa,Franschhoek,Maison Estate,-33.88686,19.07626,http://www.maisonestate.co.za/?utm_source=google&utm_medium=organic%20&utm_content=maison&utm_campaign=GMB,
AF,South Africa,Franschhoek,Topiary Wine Estate,-33.86546,19.04584,https://www.topiarywines.co.za/,
AF,South Africa,Franschhoek,Le Lude Estate and Orangerie Restaurant,-33.91427,19.1283,https://lelude.co.za/,
AF,South Africa,Franschhoek,Dieu Donné Vineyards Cellar & Tasting Room,-33.89619,19.12851,http://www.dieudonnevineyards.com/,
AF,South Africa,Franschhoek,Lynx Wine Estate,-33.86276,19.03717,http://www.lynx-collection.com/,
AF,South Africa,Franschhoek,Boschendal Wine Estate,-33.87749,18.97273,https://www.boschendal.com/?utm_source=google_maps&utm_medium=website_button&utm_campaign=SP&utm_content=SP,
AF,South Africa,Franschhoek,La Motte Wine Farm,-33.88229,19.07185,https://www.la-motte.com/,
AF,South Africa,Franschhoek,Haut Espoir,-33.93989,19.10607,http://www.hautespoir.com/,
